"","alpha1","beta1","gamma1_obs","gamma2_obs","gamma1","gamma2","m","r","r1","u","MRCA","t1","t","t1_in_years","r_tp1","r_tp2","r1_tp1","r1_tp2","t_BD"
"1",0.32,0.55,1,4,5.25656619421988,31.5287765607893,0,0.630913685441397,1.69140534970643,0.19917926740969,5.85246974394003,15.4370911885009,13.7104390675591,21.2895609324409,0.722581347187741,0.720368933790806,1.69140534970643,1.69140534970643,13.7104390675591
"2",0.41,0.37,1,4,5.25656619421988,31.5287765607893,0,1.16251646087651,0.975570420269956,0.20995646915681,3.88000417185261,6.07541043086371,25.0445853972837,9.95541460271632,1.16251646087651,1.16251646087651,0.975570420269956,0.975570420269956,25.0445853972837
"3",0.36,0.51,1,4,5.25656619421988,31.5287765607893,0,0.79289416339333,1.47663802952362,0.198575233852183,10.5247454128422,8.48879133453539,15.9864632526224,19.0135367473776,0.79289416339333,0.79289416339333,1.47663802952362,1.47663802952362,15.9864632526224
"4",0.29,0.48,1,4,5.25656619421988,31.5287765607893,0,0.743590415381277,1.64952523691607,0.192035453753861,11.3472786866365,9.61857212208507,14.0341491912784,20.9658508087216,0.743590415381277,0.743590415381277,1.64952523691607,1.64952523691607,14.0341491912784
"5",0.23,0.61,1,4,5.25656619421988,31.5287765607893,0,0.333804173976672,2.17338575616356,0.224869565366712,16.9097615952092,7.8804928633382,10.2097455414526,24.7902544585474,0.725997058006031,0.716531421223344,2.17338575616356,2.17338575616356,10.2097455414526
"6",0.25,0.49,1,4,5.25656619421988,31.5287765607893,0,0.661116723878949,1.83734667282829,0.194473857695557,5.35595916266697,17.2673936836318,12.3766471537012,22.6233528462988,0.725273856348505,0.723725413891476,1.83734667282829,1.83734667282829,12.3766471537012
"7",0.32,0.48,1,4,5.25656619421988,31.5287765607893,0,0.791559495231508,1.54014737823467,0.19725513035604,7.00011796901291,12.8064278870981,15.1934541438889,19.8065458561111,0.791559495231508,0.791559495231508,1.54014737823467,1.54014737823467,15.193454143889
"8",0.33,0.42,1,4,5.25656619421988,31.5287765607893,0,0.929353248287221,1.35758843235547,0.20646836754962,3.94119282822079,13.6126603168121,17.4461468549672,17.5538531450328,0.929353248287221,0.929353248287221,1.35758843235547,1.35758843235547,17.4461468549672
"9",0.29,0.53,1,4,5.25656619421988,31.5287765607893,0,0.631261396635314,1.75962623985411,0.198345865755531,7.41946637576674,14.5114838710984,13.0690497531349,21.9309502468651,0.723767721792446,0.721535067122523,1.75962623985411,1.75962623985411,13.0690497531349
"10",0.41,0.71,1,4,5.25656619421988,31.5287765607893,0,0.300473242648663,1.69975038071117,0.226707442968268,12.6941021833671,8.52378791253025,13.7821099041026,21.2178900958974,0.718679993484241,0.708586507945168,1.69975038071117,1.69975038071117,13.7821099041026
"11",0.31,0.46,1,4,5.25656619421988,31.5287765607893,0,0.817272304744512,1.52813524922998,0.198960548739263,5.75053491160918,13.9464304003127,15.3030346880781,19.6969653119219,0.817272304744512,0.817272304744512,1.52813524922998,1.52813524922998,15.3030346880781
"12",0.4,0.51,1,4,5.25656619421988,31.5287765607893,0,0.864603631323961,1.35957078990381,0.204183110569912,4.03119317844587,13.408629924239,17.5601768973152,17.4398231026848,0.864603631323961,0.864603631323961,1.35957078990381,1.35957078990381,17.5601768973152
"13",0.31,0.56,1,4,5.25656619421988,31.5287765607893,0,0.58972295736005,1.74670224283671,0.202507829072555,15.5181566382017,6.26762857471301,13.2142147870853,21.7857852129147,0.722982523319128,0.719766282789142,1.74670224283671,1.74670224283671,13.2142147870853
"14",0.23,0.56,1,4,5.25656619421988,31.5287765607893,0,0.467835271519571,2.07836111901004,0.212028644461418,1.34664079159305,22.9132623237408,10.7400968846661,24.2599031153339,0.725997058006031,0.719766282789142,2.07836111901004,2.07836111901004,10.7400968846661
"15",0.31,0.53,1,4,5.25656619421988,31.5287765607893,0,0.663009588239822,1.68552471263335,0.196116344050197,2.59968649061435,18.6560265230993,13.7442869862863,21.2557130137137,0.722982523319128,0.721535067122523,1.68552471263335,1.68552471263335,13.7442869862864
"16",0.32,0.47,1,4,5.25656619421988,31.5287765607893,0,0.812724156310064,1.51675470134819,0.198903112456987,9.45787454854493,10.0929072185509,15.4492182329041,19.5507817670959,0.812724156310064,0.812724156310064,1.51675470134819,1.51675470134819,15.4492182329041
"17",0.24,0.51,1,4,5.25656619421988,31.5287765607893,0,0.601949433474815,1.92715481631047,0.199636109971492,6.44293351999606,16.8431470981242,11.7139193818798,23.2860806181202,0.725637836198739,0.722652597194944,1.92715481631047,1.92715481631047,11.7139193818798
"18",0.24,0.61,1,4,5.25656619421988,31.5287765607893,0,0.348328709051504,2.12609729569823,0.223485571036086,15.4815372225209,9.03069904557968,10.4877637318994,24.5122362681006,0.725637836198739,0.716531421223344,2.12609729569823,2.12609729569823,10.4877637318994
"19",0.37,0.39,1,4,5.25656619421988,31.5287765607893,0,1.05378518898313,1.14812362865385,0.21072355115341,0.710140644586597,13.3075774943159,20.9822818610975,14.0177181389025,1.05378518898313,1.05378518898313,1.14812362865385,1.14812362865385,20.9822818610975
"20",0.36,0.42,1,4,5.25656619421988,31.5287765607893,0,0.980252732766434,1.26090912458922,0.208921039366001,5.41371731023589,10.6268808517839,18.9594018379802,16.0405981620198,0.980252732766434,0.980252732766434,1.26090912458922,1.26090912458922,18.9594018379802
"21",0.36,0.39,1,4,5.25656619421988,31.5287765607893,0,1.03628701457409,1.17856693330731,0.210431450114118,5.8781703364127,8.74068902464366,20.3811406389436,14.6188593610564,1.03628701457409,1.03628701457409,1.17856693330731,1.17856693330731,20.3811406389436
"22",0.39,0.52,1,4,5.25656619421988,31.5287765607893,0,0.823327421152904,1.40927733861646,0.201497443861655,10.7326001936899,7.39357872593705,16.8738210803731,18.1261789196269,0.823327421152904,0.823327421152904,1.40927733861646,1.40927733861646,16.8738210803731
"23",0.39,0.48,1,4,5.25656619421988,31.5287765607893,0,0.912263763012396,1.32034099675698,0.206449999620939,6.80945035972481,10.0865028536231,18.1040467866521,16.8959532133479,0.912263763012396,0.912263763012396,1.32034099675698,1.32034099675698,18.1040467866521
"24",0.4,0.52,1,4,5.25656619421988,31.5287765607893,0,0.841693312209806,1.38114644085614,0.202867298143353,6.87842438886067,10.8574298877292,17.2641457234101,17.7358542765899,0.841693312209806,0.841693312209806,1.38114644085614,1.38114644085614,17.2641457234101
