"","alpha1","beta1","ccf_last1","gamma1_obs","gamma2_obs","gamma3_obs","gamma1","gamma2","gamma3","m","r","r1","u","MRCA","t1","t","t1_in_years","r_tp1","r_tp2","r_tp3","r1_tp1","r1_tp2","r1_tp3","t_BD"
"1",0.69,0.72,0.79,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.722588148475255,0.837816763465809,0.539313947057085,17.6504699001758,15.2446626641566,30.1048674356676,32.8951325643324,0.722588148475255,0.722588148475255,0.722588148475255,0.837816763465809,0.837816763465809,0.837816763465809,30.0944419680518
"2",0.66,0.76,0.87,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.421099554029817,0.966251636404684,0.502279170720248,21.8843558021493,15.2331448394065,25.8824993584442,37.1175006415558,0.421099554029817,0.421099554029817,0.421099554029817,0.966251636404684,0.966251636404684,0.966251636404684,26.0349703641611
"3",0.61,0.74,0.84,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.330298114094798,0.812038643411871,0.426324470819827,11.426090744664,20.6619194538755,30.9119898014605,32.0880101985395,0.391867904688776,0.388077888060863,0.390963707765328,0.812038643411871,0.812038643411871,0.812038643411871,30.9012056792437
"4",0.56,0.78,0.74,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.209966686590021,0.876101285516199,0.431964144464676,20.8484970119632,13.6157074556331,28.5357955324036,34.4642044675964,0.393779600216329,0.385472552991257,0.398387374673305,0.876101285516199,0.876101285516199,0.876101285516199,28.5367058754914
"5",0.65,0.76,0.82,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.586407631524796,0.897623502007364,0.531642662979402,20.1157970631634,14.9554544723032,27.9287484645334,35.0712515354666,0.586407631524796,0.586407631524796,0.586407631524796,0.897623502007364,0.897623502007364,0.897623502007364,28.016120347995
"6",0.64,0.73,0.77,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.570384926196164,0.913495788683326,0.524018169006698,6.6314265840199,28.9776725066792,27.3909009093009,35.6090990906991,0.570384926196164,0.570384926196164,0.570384926196164,0.913495788683326,0.913495788683326,0.913495788683326,27.5106212371772
"7",0.67,0.74,0.8,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.70718426122232,0.856862381820241,0.544885769274346,18.5728129623123,15.2226330408678,29.2045539968198,33.7954460031802,0.70718426122232,0.70718426122232,0.70718426122232,0.856862381820241,0.856862381820241,0.856862381820241,29.3889778046342
"8",0.62,0.75,0.82,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.57604745399723,0.820626138572507,0.495367691218854,13.8009827422066,18.6718256334683,30.5271916243251,32.4728083756749,0.57604745399723,0.57604745399723,0.57604745399723,0.820626138572507,0.820626138572507,0.820626138572507,30.5966063359819
"9",0.66,0.72,0.85,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.40507282239484,0.908331353308927,0.4665188700465,11.2936848136505,23.9707442247126,27.7355709616368,35.2644290383632,0.40507282239484,0.40507282239484,0.40507282239484,0.908331353308927,0.908331353308927,0.908331353308927,27.7014821240789
"10",0.62,0.69,0.77,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.562450221438154,0.981989191688412,0.538031067492905,21.7393105900394,15.9822711807038,25.2784182292568,37.7215817707432,0.562450221438154,0.562450221438154,0.562450221438154,0.981989191688412,0.981989191688412,0.981989191688412,25.5524590474008
"11",0.63,0.76,0.8,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.489658404258663,0.940304424586889,0.508400668661838,26.9847761770155,9.37672073978707,26.6385030831974,36.3614969168026,0.489658404258663,0.489658404258663,0.489658404258663,0.940304424586889,0.940304424586889,0.940304424586889,26.7066779300733
"12",0.64,0.74,0.84,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.200831263729949,0.921522364012184,0.461667794697959,27.0517044333651,8.94356123564221,27.0047343309927,35.9952656690073,0.390599399020416,0.388077888060863,0.390963707765328,0.921522364012184,0.921522364012184,0.921522364012184,27.2701292644465
"13",0.67,0.76,0.8,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.760447690237638,0.742785280936832,0.501234985069223,7.27348984586841,21.8741865726131,33.8523235815185,29.1476764184815,0.760447690237638,0.760447690237638,0.760447690237638,0.742785280936832,0.742785280936832,0.742785280936832,33.9179004721984
"14",0.62,0.75,0.8,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.327457714986717,0.944634917750814,0.460178138696153,12.1464037041685,24.5911371981144,26.2624590977171,36.7375409022829,0.391456248802829,0.387466211311748,0.394375688672273,0.944634917750814,0.944634917750814,0.944634917750814,26.5668498606381
"15",0.67,0.73,0.86,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.377619142173047,0.830158588654614,0.438980354159058,6.11120882303985,26.431181801183,30.4576093757771,32.5423906242229,0.389220454852593,0.388666477081182,0.388921943352109,0.830158588654614,0.830158588654614,0.830158588654614,30.33755266096
"16",0.64,0.71,0.76,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.608054423970159,0.846903134466881,0.509539665404773,20.0073481231807,13.5112938834759,29.4813579933434,33.5186420066566,0.608054423970159,0.608054423970159,0.608054423970159,0.846903134466881,0.846903134466881,0.846903134466881,29.6816659268465
"17",0.71,0.74,0.79,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.776343907064197,0.658803205746595,0.459456918421381,2.6410188108668,21.9695006550906,38.3894805340426,24.6105194659574,0.776343907064197,0.776343907064197,0.776343907064197,0.658803205746595,0.658803205746595,0.658803205746595,38.3424101095144
"18",0.65,0.76,0.82,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.595334544400015,0.81829070112018,0.501856826789891,15.5937296143484,16.66962927514,30.7366411105116,32.2633588894884,0.595334544400015,0.595334544400015,0.595334544400015,0.81829070112018,0.81829070112018,0.81829070112018,30.7419616342691
"19",0.65,0.74,0.73,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.531756046602147,0.840940157772606,0.482762932164893,21.7656343622854,11.3762674494769,29.8580981882376,33.1419018117624,0.531756046602147,0.531756046602147,0.531756046602147,0.840940157772606,0.840940157772606,0.840940157772606,29.911279847159
"20",0.66,0.77,0.81,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.408617970618685,0.889052384599457,0.462708692217324,24.0907438471588,10.7430664496186,28.1661897032226,34.8338102967774,0.408617970618685,0.408617970618685,0.408617970618685,0.889052384599457,0.889052384599457,0.889052384599457,28.3043531283432
"21",0.64,0.74,0.82,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.451746868169826,0.758183296421916,0.432588791666355,9.48772201553643,20.4496090392604,33.0626689452032,29.9373310547968,0.451746868169826,0.451746868169826,0.451746868169826,0.758183296421916,0.758183296421916,0.758183296421916,33.1666076160244
"22",0.67,0.71,0.82,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.548192662655207,0.841763132298765,0.495304541890641,15.21118566749,17.8670098809464,29.9218044515636,33.0781955484364,0.548192662655207,0.548192662655207,0.548192662655207,0.841763132298765,0.841763132298765,0.841763132298765,29.9179406647555
