"","alpha1","alpha2","alpha3","beta1","beta2","beta3","ccf_last1","ccf_last2","ccf_last3","r","r1","r2","r3","t_cll_subclones","t_M1_subclones","t_M2_subclones","t_M3_subclones","r_tp1","lifetime_r","r1_tp1","lifetime_r1","r2_tp1","lifetime_r2","r3_tp1","lifetime_r3","t_M1_subclones_PE","t_M2_subclones_PE","t_M3_subclones_PE"
"1",0.6,0.12,0.01,0.39,0.22,0.08,0.01,0.77,0.28,0.269204937861133,-0.407835192517397,0.657386686902848,0.788861747363658,51.7850178924551,52.6232123530893,52.4165799799735,56.5202294138479,0.437062901902944,TRUE,0.451011292313758,TRUE,0.657386686902848,FALSE,0.788861747363658,FALSE,-3.69104620591271,-5.55571174779541,-6.37695972528088
"2",0.69,0.11,0.08,0.54,0.2,0.04,0.01,0.77,0.26,0.363031495666746,-0.436599997754102,0.74475191677515,0.874322958298315,51.8000276494579,52.637834162626,52.4313245472333,56.5189446115374,0.430904918070198,TRUE,0.453569160951663,TRUE,0.74475191677515,FALSE,0.874322958298315,FALSE,-3.6642859395571,-5.52914495993993,-6.37908793848366
"3",0.66,0.15,0.04,0.49,0.2,0.06,0.01,0.78,0.26,0.328251462264057,-0.412804454544142,0.642038599726506,0.62876133426195,51.8588208826789,52.6952876936798,52.4890367547722,56.5929207033671,0.429966168172915,TRUE,0.452755622105199,TRUE,0.642038599726506,FALSE,0.62876133426195,FALSE,-3.55913672459771,-5.42515900041049,-6.25655010209195
"4",0.64,0.16,0.06,0.45,0.15,0.08,0.03,0.77,0.25,0.321644551563886,-0.191599605519173,0.811592473427398,0.530399671949786,51.885009857247,52.7230275776825,52.516504062117,56.6046259723559,0.430904918070198,TRUE,0.452192451192557,TRUE,0.811592473427398,FALSE,0.530399671949786,FALSE,-3.50836826924877,-5.37566835654601,-6.23716088726875
"5",0.53,0.12,0.06,0.53,0.18,0.09,0.02,0.74,0.21,0.239967112620549,-0.24513057682686,0.698095877086238,0.519314327127648,51.7681565441218,52.6104394937768,52.4027261935585,56.5403353796457,0.441146788273994,TRUE,0.44874092905113,TRUE,0.698095877086238,FALSE,0.519314327127648,FALSE,-3.71442259557689,-5.58067352511978,-6.34365516043445
"6",0.62,0.1,0.03,0.47,0.22,0.12,0.02,0.77,0.26,0.217993225218065,-0.288750482901091,0.586215354092428,0.752391921541467,51.7228867869645,52.5595112196735,52.3532713913312,56.4485912925962,0.437062901902944,TRUE,0.451611398880797,TRUE,0.586215354092428,FALSE,0.752391921541467,FALSE,-3.80762953939704,-5.66978127688076,-6.49562482591324
"7",0.57,0.11,0.02,0.42,0.16,0.06,0.01,0.77,0.23,0.253892693129294,-0.370543913740774,0.732563509319737,0.728678917429583,51.7807302089276,52.6221188071836,52.4146832727393,56.5339554421478,0.439506741445852,TRUE,0.450072542416475,TRUE,0.732563509319737,FALSE,0.728678917429583,FALSE,-3.6930475710403,-5.55912923830751,-6.35422321989766
"8",0.51,0.11,0.05,0.59,0.23,0.05,0.03,0.79,0.23,0.00915906208602529,-0.178455372285008,0.683118053140584,0.69132826813586,51.7703602589779,52.6125281481409,52.4048711621734,56.5362586902937,0.44265187791962,TRUE,0.448036934160431,TRUE,0.683118053140584,FALSE,0.69132826813586,FALSE,-3.71060002170415,-5.57680871680477,-6.35040800017612
"9",0.57,0.09,0.04,0.41,0.19,0.04,0.02,0.8,0.23,0.188856372949161,-0.279712936910217,0.722761463289246,0.839837939319185,51.7335363816575,52.5742821231146,52.3670225861815,56.4782728499805,0.440616269663576,TRUE,0.450072542416475,TRUE,0.722761463289246,FALSE,0.839837939319185,FALSE,-3.78059640718418,-5.64500434922246,-6.44645875438056
"10",0.6,0.13,0.06,0.45,0.16,0.09,0.01,0.8,0.23,0.244654345788374,-0.39541068265844,0.726593307679873,0.551243072540488,51.7969478553657,52.6355309698874,52.4287914494699,56.5355582614027,0.436397315443008,TRUE,0.451011292313758,TRUE,0.726593307679873,FALSE,0.551243072540488,FALSE,-3.66850115320761,-5.5337091000542,-6.35156822692941
"11",0.78,0.1,0.05,0.41,0.19,0.05,0.02,0.8,0.31,0.40060625093064,-0.388909892076477,0.773180512208757,0.638466021957998,51.7829029233173,52.6156446164637,52.4103514075479,56.4870943504402,0.421555986449298,TRUE,0.455812980902109,TRUE,0.773180512208757,FALSE,0.638466021957998,FALSE,-3.70489638275318,-5.56693440081461,-6.43184636335895
"12",0.6,0.12,0.06,0.48,0.19,0.1,0.01,0.8,0.23,0.268261595518742,-0.405525290674434,0.670674984017223,0.54528212761871,51.7689161074698,52.6086831079591,52.4015959853009,56.5276050299174,0.437062901902944,TRUE,0.451011292313758,TRUE,0.670674984017223,FALSE,0.54528212761871,FALSE,-3.71763706449647,-5.58270993639484,-6.36474237217595
"13",0.58,0.12,0.06,0.36,0.15,0.03,0.01,0.85,0.25,0.17926967160721,-0.463370940736979,0.716599471780775,0.472767546140971,51.7686763125892,52.6109525045155,52.4032534052157,56.5371014129411,0.438325582567053,TRUE,0.450390839318229,TRUE,0.716599471780775,FALSE,0.472767546140971,FALSE,-3.7134837033026,-5.57972359420589,-6.34901207066248
"14",0.64,0.14,0.05,0.51,0.2,0.08,0.01,0.73,0.27,0.338475932302586,-0.418558473536324,0.591319329564707,0.587743987278537,51.822808795794,52.6619956612844,52.4550223636541,56.5846469936823,0.432649247861639,TRUE,0.452192451192557,TRUE,0.591319329564707,FALSE,0.587743987278537,FALSE,-3.62006650570206,-5.48644619161427,-6.27025510405451
"15",0.66,0.08,0.04,0.49,0.17,0.08,0.01,0.79,0.31,0.284756226812563,-0.418483871988092,0.742034318038432,0.665296334452169,51.7124965738434,52.5509124061229,52.3442034294296,56.4531502391066,0.435706606658549,TRUE,0.452755622105199,TRUE,0.742034318038432,FALSE,0.665296334452169,FALSE,-3.82336675306937,-5.68611994697375,-6.48807315039485
"16",0.71,0.13,0.05,0.51,0.2,0.09,0.01,0.78,0.24,0.326546035547042,-0.43970200352788,0.652079146371697,0.586737385819038,51.8097963237458,52.6438434428799,52.4381963275119,56.5320005933623,0.426821031699147,TRUE,0.454092099685998,TRUE,0.652079146371697,FALSE,0.586737385819038,FALSE,-3.65328798887278,-5.51676337385241,-6.3574613328437
"17",0.62,0.12,0.04,0.46,0.19,0.07,0.01,0.8,0.26,0.249035991247139,-0.40343147910545,0.657725154428814,0.648586011894581,51.7845622566352,52.6225744936025,52.4159617932282,56.5255659820296,0.435706606658549,TRUE,0.451611398880797,TRUE,0.657725154428814,FALSE,0.648586011894581,FALSE,-3.69221359150348,-5.55682559778708,-6.36811995688314
"18",0.71,0.09,0.07,0.41,0.18,0.07,0.01,0.8,0.27,0.266376090582323,-0.377923678334101,0.816188031247471,0.3825619767263,51.5864740949261,52.4339795927417,52.2249660613741,56.3896596104395,0.430904918070198,TRUE,0.454092099685998,TRUE,0.816188031247471,FALSE,0.411691482409534,TRUE,-4.03737263407449,-5.9009620515782,-6.59324232161751
"19",0.55,0.12,0.04,0.51,0.17,0.06,0.01,0.74,0.22,0.326240918414495,-0.379366901119384,0.645159466024511,0.668192160702151,51.7831499467186,52.6238039442764,52.4165194076399,56.5423089688423,0.440069912358494,TRUE,0.449418843979394,TRUE,0.645159466024511,FALSE,0.668192160702151,FALSE,-3.689963498762,-5.55582088713533,-6.34038600489933
"20",0.59,0.11,0.07,0.49,0.17,0.13,0.01,0.78,0.2,0.252773070205325,-0.408581833063484,0.849442451058326,0.481207391147562,51.7359617926557,52.5793925491399,52.3713971590657,56.5074112700438,0.438325582567053,TRUE,0.450703694980003,TRUE,0.849442451058326,FALSE,0.481207391147562,FALSE,-3.77124350450236,-5.63712223591773,-6.39819236368431
