r_hat,r1_hat,r2_hat,u_hat,t1_hat,t2_hat,t_hat,m1,m2,m1_obs,m2_obs,gamma,alpha1c,alpha2c,beta1c,beta2c,M1,M2,cells[0],cells[1],cells[2],WBC1[0],WBC1[1],WBC1[2]
0.068085,0.089534,0.127564,0.999958,54.833829,107.165654,42.210118,52.000000,78.000000,66.000000,115.000000,1157.000000,0.574178,0.010552,0.662128,0.026036,1611.000000,8373.000000,2611.000000,5544.000000,218.000000,669.000000,925.000000,17.000000
0.074076,0.092807,0.135577,1.190642,47.176903,58.135020,61.717921,44.000000,74.000000,69.000000,78.000000,1216.000000,0.210863,0.152290,0.209404,0.355756,1878.000000,12101.000000,5262.000000,2534.000000,4305.000000,1196.000000,396.000000,286.000000
0.066997,0.089973,0.139172,1.069818,34.687744,75.071655,65.481158,47.000000,78.000000,49.000000,88.000000,1123.000000,0.305182,0.134597,0.299470,0.353321,4168.000000,25682.000000,8917.000000,7691.000000,9074.000000,2335.000000,1272.000000,561.000000
0.058475,0.087521,0.138543,1.006841,56.112073,85.150117,73.069655,40.000000,87.000000,68.000000,93.000000,785.000000,0.315712,0.572687,0.160502,0.807761,2724.000000,30847.000000,979.000000,4951.000000,24917.000000,304.000000,860.000000,1560.000000
0.071552,0.087695,0.142262,0.984492,45.478961,79.309669,60.569165,33.000000,68.000000,56.000000,85.000000,1088.000000,0.312611,0.071018,0.322139,0.217956,4520.000000,25340.000000,11654.000000,8163.000000,5523.000000,2786.000000,1413.000000,321.000000
0.074677,0.087986,0.137042,1.009303,38.173760,69.984034,47.273898,34.000000,62.000000,50.000000,78.000000,1192.000000,0.334428,0.009192,0.388000,0.028448,4569.000000,22884.000000,13354.000000,8879.000000,651.000000,2999.000000,1528.000000,42.000000
0.055909,0.095507,0.136596,1.051029,28.538956,53.571832,75.403358,37.000000,60.000000,41.000000,64.000000,816.000000,0.335643,0.583007,0.197605,0.780702,3319.000000,38076.000000,826.000000,7524.000000,29726.000000,270.000000,1114.000000,1935.000000
0.078095,0.091524,0.140204,1.127455,60.917099,71.806373,73.911014,46.000000,87.000000,81.000000,89.000000,814.000000,0.246659,0.731959,0.112075,0.880497,2619.000000,35949.000000,267.000000,4029.000000,31653.000000,56.000000,646.000000,1917.000000
0.070769,0.091013,0.124758,1.063464,34.148083,96.360347,55.978838,39.000000,76.000000,48.000000,111.000000,1261.000000,0.361557,0.016418,0.447072,0.039867,5421.000000,27065.000000,13886.000000,12100.000000,1079.000000,3372.000000,1960.000000,89.000000
0.068519,0.088817,0.142245,0.885369,62.156516,92.363440,51.232287,43.000000,72.000000,65.000000,88.000000,1030.000000,0.468620,0.022044,0.537292,0.073578,3856.000000,19870.000000,7732.000000,10676.000000,1462.000000,1964.000000,1807.000000,85.000000
