r_hat,r1_hat,r2_hat,u_hat,t1_hat,t2_hat,t_hat,m1,m2,m1_obs,m2_obs,gamma,alpha1c,alpha2c,beta1c,beta2c,M1,M2,cells[0],cells[1],cells[2],WBC1[0],WBC1[1],WBC1[2]
0.263771,0.292456,0.347958,0.928717,13.808758,18.661186,20.980888,13.000000,18.000000,16.000000,20.000000,273.000000,0.048223,0.659898,0.041144,0.743101,394.000000,1993.000000,430.000000,82.000000,1481.000000,115.000000,19.000000,260.000000
0.245382,0.312770,0.332455,0.961742,16.558574,20.907002,20.750852,14.000000,21.000000,19.000000,23.000000,325.000000,0.214203,0.218859,0.248938,0.280657,859.000000,3531.000000,1661.000000,879.000000,991.000000,487.000000,184.000000,188.000000
0.262112,0.298570,0.361377,1.008807,21.432459,24.988371,19.291980,23.000000,26.000000,25.000000,28.000000,323.000000,0.626123,0.104853,0.629996,0.144425,1669.000000,7381.000000,1665.000000,4650.000000,1066.000000,449.000000,1045.000000,175.000000
0.251170,0.294778,0.337932,1.272988,16.246450,16.679651,22.950687,21.000000,24.000000,25.000000,25.000000,433.000000,0.118399,0.239578,0.127049,0.318989,1799.000000,7320.000000,4055.000000,930.000000,2335.000000,1155.000000,213.000000,431.000000
0.243156,0.306056,0.341404,1.174623,18.867385,22.611026,21.053252,23.000000,29.000000,26.000000,30.000000,421.000000,0.072575,0.154143,0.088385,0.224009,1557.000000,5906.000000,4061.000000,522.000000,1323.000000,1204.000000,113.000000,240.000000
0.250276,0.290141,0.340597,0.969130,24.413450,24.924028,19.807585,16.000000,23.000000,27.000000,27.000000,346.000000,0.150943,0.094340,0.169470,0.136313,1643.000000,6243.000000,4334.000000,1058.000000,851.000000,1240.000000,248.000000,155.000000
0.252619,0.294700,0.336718,1.087838,23.265107,28.284820,24.100030,28.000000,33.000000,29.000000,34.000000,358.000000,0.276486,0.267442,0.283288,0.338085,2322.000000,9891.000000,3745.000000,2802.000000,3344.000000,1059.000000,642.000000,621.000000
0.249721,0.301357,0.321888,1.075503,11.558436,21.997862,8.413031,15.000000,15.000000,16.000000,27.000000,398.000000,0.125547,0.001312,0.156647,0.001814,2286.000000,8267.000000,6957.000000,1295.000000,15.000000,1996.000000,287.000000,3.000000
0.249546,0.285586,0.338101,1.075528,22.532148,31.444013,16.258946,26.000000,31.000000,28.000000,37.000000,397.000000,0.160163,0.018293,0.184090,0.027339,2460.000000,8925.000000,7038.000000,1643.000000,244.000000,2021.000000,394.000000,45.000000
0.245020,0.264810,0.338178,1.016333,33.613016,29.512634,23.388548,29.000000,32.000000,38.000000,33.000000,362.000000,0.011900,0.205991,0.011694,0.292136,2437.000000,9321.000000,6489.000000,109.000000,2723.000000,1906.000000,29.000000,502.000000
