r_hat,r1_hat,r2_hat,u_hat,t1_hat,t2_hat,t_hat,m1,m2,m1_obs,m2_obs,gamma,alpha1c,alpha2c,beta1c,beta2c,M1,M2,cells[0],cells[1],cells[2],WBC1[0],WBC1[1],WBC1[2]
0.024537,0.037841,0.050809,0.908573,156.277708,211.450346,164.744516,129.000000,186.000000,166.000000,210.000000,2070.000000,0.498136,0.416134,0.451540,0.488904,3756.000000,8832.000000,526.000000,3988.000000,4318.000000,322.000000,1871.000000,1563.000000
0.005889,0.042184,0.046052,0.947594,138.811197,208.341855,182.797103,131.000000,189.000000,154.000000,218.000000,2152.000000,0.685033,0.302873,0.672841,0.321411,5953.000000,14091.000000,81.000000,9481.000000,4529.000000,72.000000,4078.000000,1803.000000
0.024286,0.019465,0.049990,0.936382,205.998378,180.768914,190.159876,114.000000,180.000000,241.000000,188.000000,2258.000000,0.049353,0.652679,0.031250,0.760983,7578.000000,17664.000000,3670.000000,552.000000,13442.000000,2258.000000,374.000000,4946.000000
0.024353,0.039362,0.041464,0.930140,112.208521,239.283935,96.646158,122.000000,192.000000,128.000000,245.000000,2702.000000,0.597017,0.002819,0.666050,0.003280,8514.000000,16769.000000,5545.000000,11169.000000,55.000000,3407.000000,5083.000000,24.000000
0.025140,0.040816,0.053865,1.066808,161.100067,193.282017,160.735387,154.000000,210.000000,198.000000,226.000000,3097.000000,0.192931,0.191369,0.216444,0.278714,10242.000000,20652.000000,10426.000000,4470.000000,5756.000000,6306.000000,1976.000000,1960.000000
0.024985,0.038548,0.053027,0.921250,162.932311,229.716904,156.260938,128.000000,199.000000,174.000000,229.000000,3012.000000,0.135705,0.101612,0.159106,0.159147,13522.000000,24933.000000,16998.000000,3967.000000,3968.000000,10313.000000,1835.000000,1374.000000
0.024196,0.043804,0.041229,1.188429,103.388219,149.924884,178.439521,133.000000,202.000000,150.000000,207.000000,4062.000000,0.163443,0.059316,0.219423,0.075635,11582.000000,20718.000000,14605.000000,4546.000000,1567.000000,9002.000000,1893.000000,687.000000
0.027356,0.039360,0.048413,0.894631,127.729492,170.484840,170.099481,121.000000,161.000000,137.000000,171.000000,2426.000000,0.536847,0.078286,0.575157,0.100520,18292.000000,37515.000000,12167.000000,21577.000000,3771.000000,7040.000000,9820.000000,1432.000000
0.027083,0.040250,0.045446,1.097190,78.145973,143.874171,196.731085,106.000000,168.000000,113.000000,182.000000,2624.000000,0.747711,0.161896,0.750112,0.180201,19006.000000,42375.000000,2953.000000,31786.000000,7636.000000,1718.000000,14211.000000,3077.000000
0.026754,0.041047,0.050868,0.988240,122.363294,157.423721,207.602219,113.000000,166.000000,145.000000,175.000000,2202.000000,0.146078,0.601121,0.136827,0.685255,23200.000000,56290.000000,10015.000000,7702.000000,38573.000000,5865.000000,3389.000000,13946.000000
0.025280,0.040093,0.048894,1.131215,120.034750,165.188814,153.391987,124.000000,186.000000,164.000000,210.000000,3242.000000,0.517513,0.035763,0.579948,0.047791,19014.000000,37831.000000,14083.000000,21940.000000,1808.000000,8494.000000,9840.000000,680.000000
0.026046,0.040079,0.048139,1.048755,123.797132,164.207845,169.592745,115.000000,183.000000,156.000000,194.000000,3058.000000,0.309835,0.127921,0.350181,0.169867,10483.000000,20675.000000,9923.000000,7240.000000,3512.000000,5894.000000,3248.000000,1341.000000
