r_hat,r1_hat,r2_hat,u_hat,t1_hat,t2_hat,tau1_hat,tau2_hat,m1,m2,m1_obs,m2_obs,gamma,alpha1,alpha2,beta1,beta2,M1,M2,cells[0],cells[1],cells[2],WBC1[0],WBC1[1],WBC1[2]
0.069820,0.088883,0.139729,1.053574,37.155886,70.673575,66.500916,50.399591,43.000000,68.000000,51.000000,82.000000,1012.000000,0.079957,0.247887,0.065305,0.559740,4615.000000,33428.000000,12534.000000,2183.000000,18711.000000,3102.000000,369.000000,1144.000000
0.068659,0.089459,0.136428,0.913725,58.864585,62.713091,86.312053,51.331480,56.000000,61.000000,64.000000,64.000000,944.000000,0.314469,0.153331,0.297274,0.370838,7174.000000,45416.000000,15073.000000,13501.000000,16842.000000,3818.000000,2256.000000,1100.000000
0.072638,0.085451,0.138342,1.230726,34.611522,56.148777,77.362358,50.039971,52.000000,75.000000,57.000000,78.000000,1301.000000,0.104237,0.142396,0.094985,0.373713,7128.000000,43207.000000,22956.000000,4104.000000,16147.000000,5370.000000,743.000000,1015.000000
0.072145,0.095953,0.138824,0.930713,54.044993,64.784447,76.062333,56.231662,49.000000,65.000000,60.000000,67.000000,827.000000,0.189123,0.314267,0.152724,0.598174,7815.000000,65949.000000,16428.000000,10072.000000,39449.000000,3881.000000,1478.000000,2456.000000
0.073113,0.087317,0.140217,1.018699,71.005632,58.638340,69.786368,58.502415,67.000000,65.000000,84.000000,67.000000,739.000000,0.090593,0.746830,0.038318,0.909923,4890.000000,66288.000000,3431.000000,2540.000000,60317.000000,795.000000,443.000000,3652.000000
0.069234,0.090155,0.139641,0.905068,48.572058,59.132127,91.961205,58.506577,47.000000,59.000000,54.000000,60.000000,769.000000,0.405389,0.359227,0.265520,0.633023,9835.000000,91123.000000,9245.000000,24195.000000,57683.000000,2315.000000,3987.000000,3533.000000
0.070232,0.088575,0.138746,0.909911,54.650568,91.703340,85.539376,57.493012,50.000000,83.000000,60.000000,90.000000,863.000000,0.170005,0.253701,0.134783,0.548631,11482.000000,85152.000000,26958.000000,11477.000000,46717.000000,6617.000000,1952.000000,2913.000000
0.069579,0.089095,0.140618,0.998810,53.853479,73.985056,78.291959,56.829638,62.000000,79.000000,65.000000,81.000000,950.000000,0.091266,0.252047,0.073479,0.568671,11724.000000,86514.000000,30959.000000,6357.000000,49198.000000,7699.000000,1070.000000,2955.000000
0.071111,0.090566,0.133764,1.131375,46.410553,78.260533,99.219821,41.096043,63.000000,79.000000,65.000000,97.000000,1273.000000,0.563470,0.017207,0.634212,0.045950,14180.000000,77083.000000,24654.000000,48887.000000,3542.000000,5946.000000,7990.000000,244.000000
0.068675,0.092411,0.142547,1.044649,56.186977,77.223576,75.277927,39.351744,60.000000,80.000000,70.000000,88.000000,1185.000000,0.244641,0.063607,0.288384,0.204369,4292.000000,23115.000000,11725.000000,6666.000000,4724.000000,2969.000000,1050.000000,273.000000
