r_hat,r1_hat,r2_hat,u_hat,t1_hat,t2_hat,tau1_hat,tau2_hat,m1,m2,m1_obs,m2_obs,gamma,alpha1,alpha2,beta1,beta2,M1,M2,cells[0],cells[1],cells[2],WBC1[0],WBC1[1],WBC1[2]
0.241632,0.291394,0.394980,1.001570,9.547843,27.421202,18.148176,8.927958,12.000000,20.000000,13.000000,30.000000,382.000000,0.085900,0.014751,0.105800,0.030495,2305.000000,8034.000000,6939.000000,850.000000,245.000000,2073.000000,198.000000,34.000000
0.245863,0.303239,0.358352,0.925110,22.645138,22.071362,23.583667,12.462354,23.000000,19.000000,24.000000,23.000000,324.000000,0.368893,0.025152,0.430519,0.038667,3459.000000,13500.000000,7166.000000,5812.000000,522.000000,2096.000000,1276.000000,87.000000
0.246322,0.303008,0.346726,1.071502,17.231677,27.913762,21.192943,13.831657,19.000000,26.000000,22.000000,33.000000,389.000000,0.185857,0.036567,0.227480,0.055691,3309.000000,12300.000000,8817.000000,2798.000000,685.000000,2573.000000,615.000000,121.000000
0.246367,0.302659,0.354457,1.119636,16.345189,15.934879,18.975173,17.440978,15.000000,20.000000,22.000000,21.000000,412.000000,0.046038,0.071418,0.057218,0.115001,6777.000000,24765.000000,20500.000000,1417.000000,2848.000000,5981.000000,312.000000,484.000000
0.250619,0.287696,0.357924,1.104283,33.652265,34.334268,18.346151,12.172159,37.000000,39.000000,41.000000,41.000000,414.000000,0.031003,0.012338,0.036763,0.020785,6322.000000,22468.000000,21175.000000,826.000000,467.000000,6048.000000,196.000000,78.000000
0.247586,0.322342,0.364652,0.956313,27.222512,27.582468,13.890037,15.141742,23.000000,28.000000,29.000000,29.000000,359.000000,0.011297,0.032092,0.015928,0.055911,7790.000000,27687.000000,25698.000000,441.000000,1548.000000,7452.000000,88.000000,250.000000
0.247583,0.311009,0.356970,1.105090,13.072917,21.631033,14.870876,13.434727,14.000000,24.000000,18.000000,27.000000,419.000000,0.013288,0.015763,0.017952,0.026798,7676.000000,26905.000000,25701.000000,483.000000,721.000000,7453.000000,102.000000,121.000000
0.252112,0.318041,0.371066,1.180618,30.736308,19.327421,9.572726,14.608011,29.000000,25.000000,40.000000,26.000000,438.000000,0.002415,0.025989,0.003285,0.046091,8696.000000,31351.000000,29803.000000,103.000000,1445.000000,8449.000000,21.000000,226.000000
0.248496,0.290346,0.293267,0.881989,28.302254,28.336566,18.933176,8.473177,23.000000,18.000000,28.000000,28.000000,335.000000,0.034917,0.001717,0.042679,0.002130,6988.000000,24415.000000,23321.000000,1042.000000,52.000000,6732.000000,244.000000,12.000000
0.249199,0.298870,0.351522,0.889786,21.379103,28.623459,20.975996,18.615940,20.000000,26.000000,22.000000,28.000000,326.000000,0.048246,0.063505,0.058566,0.100306,10944.000000,40177.000000,33794.000000,2353.000000,4030.000000,9721.000000,528.000000,695.000000
0.252064,0.289355,0.366652,1.207733,13.931985,11.348571,20.816786,11.121006,18.000000,16.000000,21.000000,17.000000,451.000000,0.039658,0.005665,0.047196,0.009923,10414.000000,37185.000000,35061.000000,1755.000000,369.000000,9942.000000,413.000000,59.000000
0.249556,0.287987,0.354518,1.040812,18.625759,27.924497,20.552613,12.325041,22.000000,30.000000,23.000000,32.000000,392.000000,0.040247,0.008547,0.048080,0.014240,9243.000000,32654.000000,30619.000000,1570.000000,465.000000,8792.000000,372.000000,79.000000
0.251638,0.299581,0.345269,0.951520,18.731943,29.683149,19.486336,17.745182,19.000000,30.000000,21.000000,31.000000,334.000000,0.099363,0.132677,0.114162,0.191561,3452.000000,13437.000000,9329.000000,1534.000000,2574.000000,2651.000000,343.000000,458.000000
0.249417,0.288597,0.385058,0.971083,20.219849,25.206996,24.337641,8.653769,22.000000,22.000000,23.000000,27.000000,357.000000,0.199964,0.004986,0.232072,0.009373,5616.000000,20485.000000,15539.000000,4754.000000,192.000000,4465.000000,1123.000000,28.000000
0.229793,0.295289,0.267778,1.020844,17.184693,34.469235,15.792792,12.308075,17.000000,30.000000,21.000000,39.000000,382.000000,0.306358,0.078035,0.374496,0.083132,346.000000,1239.000000,672.000000,464.000000,103.000000,213.000000,106.000000,27.000000
0.251761,0.295272,0.331413,1.017588,17.250322,28.429522,21.074049,11.205263,17.000000,23.000000,21.000000,32.000000,380.000000,0.049489,0.004026,0.060668,0.005913,10184.000000,36362.000000,33941.000000,2206.000000,215.000000,9639.000000,504.000000,41.000000
