r_hat,r1_hat,r2_hat,u_hat,t1_hat,t2_hat,tau1_hat,tau2_hat,m1,m2,m1_obs,m2_obs,gamma,alpha1,alpha2,beta1,beta2,M1,M2,cells[0],cells[1],cells[2],WBC1[0],WBC1[1],WBC1[2]
0.020273,0.028634,0.045538,0.773668,152.495629,223.623547,256.365353,124.509026,142.000000,180.000000,145.000000,190.000000,2650.000000,0.617294,0.116093,0.613830,0.161877,2498.000000,4454.000000,999.000000,2734.000000,721.000000,666.000000,1542.000000,290.000000
0.029149,0.037245,0.052840,0.936099,139.799774,254.550311,200.509327,107.498164,151.000000,180.000000,156.000000,256.000000,2369.000000,0.711499,0.119057,0.698750,0.159720,2461.000000,5278.000000,747.000000,3688.000000,843.000000,417.000000,1751.000000,293.000000
0.022796,0.030003,0.027428,0.719623,250.151682,345.685970,239.109325,118.785956,147.000000,169.000000,204.000000,275.000000,2650.000000,0.442673,0.008820,0.478086,0.009047,2948.000000,4974.000000,2551.000000,2378.000000,45.000000,1617.000000,1305.000000,26.000000
0.025295,0.032200,0.043197,1.074558,115.981618,146.222009,231.185664,186.920795,127.000000,178.000000,158.000000,182.000000,3185.000000,0.182070,0.341887,0.178031,0.416535,9392.000000,18289.000000,7415.000000,3256.000000,7618.000000,4471.000000,1710.000000,3211.000000
0.023208,0.026848,0.049041,0.885360,178.484137,263.109542,198.085516,81.339011,139.000000,190.000000,191.000000,251.000000,3577.000000,0.034611,0.009162,0.036900,0.015225,5894.000000,9458.000000,8965.000000,349.000000,144.000000,5636.000000,204.000000,54.000000
0.024058,0.031780,0.045082,0.868240,147.055755,194.347864,208.725637,170.565997,151.000000,170.000000,155.000000,188.000000,2844.000000,0.083553,0.240215,0.085569,0.320990,9096.000000,16770.000000,9952.000000,1435.000000,5383.000000,6151.000000,760.000000,2185.000000
0.025085,0.033436,0.051413,0.854525,177.224498,205.235714,253.161093,142.452041,161.000000,181.000000,177.000000,192.000000,2602.000000,0.397353,0.126979,0.404730,0.185295,11939.000000,22877.000000,9379.000000,9259.000000,4239.000000,5679.000000,4744.000000,1516.000000
0.025957,0.036047,0.048053,0.958719,136.018279,174.241502,198.045453,162.144585,147.000000,181.000000,157.000000,187.000000,2914.000000,0.113197,0.217411,0.120849,0.295103,11131.000000,21440.000000,12522.000000,2591.000000,6327.000000,7451.000000,1260.000000,2420.000000
0.022391,0.043707,0.049889,0.834755,155.615664,209.962961,151.495956,131.370467,148.000000,180.000000,149.000000,192.000000,3135.000000,0.076539,0.071545,0.107239,0.113435,9812.000000,16785.000000,13081.000000,1800.000000,1904.000000,8359.000000,751.000000,702.000000
0.028108,0.035160,0.044858,1.110662,156.132845,170.385226,194.738881,173.171526,157.000000,180.000000,205.000000,214.000000,3295.000000,0.087202,0.219071,0.091249,0.278308,10791.000000,20833.000000,13134.000000,1901.000000,5798.000000,7486.000000,941.000000,2364.000000
0.023633,0.038259,0.034316,0.787101,196.197427,284.669067,177.710673,165.624481,145.000000,192.000000,175.000000,247.000000,2979.000000,0.095213,0.031207,0.122685,0.037162,9421.000000,15715.000000,13203.000000,1928.000000,584.000000,8230.000000,897.000000,294.000000
0.026180,0.031969,0.021283,0.944560,174.105962,195.456026,229.341570,215.424672,151.000000,186.000000,194.000000,229.000000,3331.000000,0.150958,0.009682,0.166552,0.008627,10122.000000,17388.000000,14342.000000,2896.000000,150.000000,8496.000000,1528.000000,98.000000
0.022868,0.034185,0.041685,0.865114,156.850374,186.387479,240.536507,161.098449,144.000000,178.000000,161.000000,182.000000,3097.000000,0.270202,0.059843,0.309162,0.079553,13786.000000,23871.000000,14592.000000,7380.000000,1899.000000,9236.000000,3725.000000,825.000000
0.024798,0.027549,0.047164,0.985410,109.832648,176.684451,235.884001,130.364443,140.000000,176.000000,144.000000,195.000000,3655.000000,0.051810,0.036517,0.053482,0.055803,12816.000000,21540.000000,19186.000000,1152.000000,1202.000000,11684.000000,664.000000,468.000000
0.024847,0.037526,0.045082,0.908157,166.049469,192.538581,186.230905,188.755033,155.000000,183.000000,175.000000,195.000000,2842.000000,0.059560,0.272582,0.066557,0.354292,18200.000000,34497.000000,19979.000000,2296.000000,12222.000000,12155.000000,1084.000000,4961.000000
0.027721,0.035950,0.047497,0.969331,128.993026,157.419692,228.846675,159.070539,147.000000,163.000000,152.000000,173.000000,2774.000000,0.320044,0.163487,0.331964,0.213628,11689.000000,23129.000000,10510.000000,7678.000000,4941.000000,6037.000000,3741.000000,1911.000000
0.026873,0.035431,0.043675,1.060660,144.310135,170.379788,226.997160,173.545516,166.000000,196.000000,183.000000,205.000000,3395.000000,0.161938,0.101921,0.179441,0.133182,19211.000000,35215.000000,24206.000000,6319.000000,4690.000000,14142.000000,3111.000000,1958.000000
0.024972,0.035780,0.045815,0.972842,135.489677,187.867658,224.739727,169.537107,154.000000,186.000000,159.000000,204.000000,3285.000000,0.135639,0.103149,0.155023,0.144091,22899.000000,40981.000000,28723.000000,6353.000000,5905.000000,17431.000000,3106.000000,2362.000000
0.026668,0.032268,0.050556,0.960674,147.009975,218.594293,218.023192,139.261697,158.000000,212.000000,171.000000,229.000000,3243.000000,0.056831,0.057131,0.061021,0.088432,19989.000000,35496.000000,30191.000000,2166.000000,3139.000000,17711.000000,1136.000000,1142.000000
0.025960,0.030399,0.052383,0.997893,129.446775,195.361783,180.965604,105.783327,145.000000,158.000000,162.000000,214.000000,3603.000000,0.012847,0.013371,0.013894,0.022446,19071.000000,32389.000000,31212.000000,450.000000,727.000000,18571.000000,245.000000,255.000000
0.023677,0.034363,0.047014,0.875541,162.780387,216.297312,260.937856,130.086178,156.000000,166.000000,168.000000,208.000000,3084.000000,0.307165,0.017755,0.350962,0.026127,25514.000000,44398.000000,27656.000000,15582.000000,1160.000000,17224.000000,7837.000000,453.000000
0.025010,0.037351,0.046358,0.972006,160.468645,156.411051,205.658714,162.489455,159.000000,172.000000,182.000000,173.000000,3124.000000,0.167763,0.144548,0.191049,0.197103,12923.000000,23952.000000,14655.000000,4576.000000,4721.000000,8887.000000,2168.000000,1868.000000
0.024132,0.036462,0.044645,0.880990,124.675718,190.997458,190.368182,182.702465,133.000000,165.000000,134.000000,188.000000,3122.000000,0.038852,0.131021,0.046149,0.183305,26614.000000,46458.000000,35798.000000,2144.000000,8516.000000,22093.000000,1034.000000,3487.000000
0.025415,0.039455,0.048489,0.993614,119.580035,204.816151,174.901739,130.392828,141.000000,177.000000,144.000000,224.000000,2910.000000,0.287410,0.161216,0.320434,0.215333,3455.000000,6822.000000,3167.000000,2186.000000,1469.000000,1905.000000,993.000000,557.000000
0.024684,0.036475,0.042746,0.828361,215.231904,221.668088,200.480447,190.868259,164.000000,193.000000,201.000000,203.000000,2884.000000,0.056081,0.130719,0.066241,0.175029,26729.000000,46935.000000,35611.000000,3109.000000,8215.000000,21736.000000,1499.000000,3494.000000
0.024938,0.039461,0.046483,0.983604,131.225342,171.653897,184.435936,145.785262,143.000000,181.000000,154.000000,190.000000,3573.000000,0.051991,0.031489,0.067196,0.046835,27851.000000,47443.000000,42033.000000,3188.000000,2222.000000,25526.000000,1448.000000,877.000000
0.024441,0.035712,0.046305,0.860095,152.211130,195.821849,242.838593,160.448499,149.000000,167.000000,155.000000,187.000000,2920.000000,0.228273,0.065874,0.261454,0.093253,25579.000000,45618.000000,29437.000000,11927.000000,4254.000000,18055.000000,5839.000000,1685.000000
0.025422,0.032055,0.045954,1.111135,185.699391,168.134946,188.727194,176.287224,156.000000,197.000000,241.000000,211.000000,3868.000000,0.013171,0.102445,0.014270,0.146565,32193.000000,56412.000000,47339.000000,805.000000,8268.000000,28471.000000,424.000000,3298.000000
0.023687,0.033968,0.052056,1.011618,128.723190,260.539789,195.550469,98.995741,145.000000,188.000000,160.000000,283.000000,3999.000000,0.024623,0.005554,0.029949,0.009699,31150.000000,50520.000000,48517.000000,1513.000000,490.000000,30210.000000,767.000000,173.000000
0.025651,0.034299,0.044798,0.985009,97.746929,136.051945,225.808845,181.774669,124.000000,154.000000,125.000000,156.000000,3411.000000,0.055262,0.082295,0.062637,0.115074,41801.000000,73231.000000,60217.000000,4587.000000,8427.000000,36051.000000,2310.000000,3440.000000
