t_estimate,t_true,tumor_size
276.310211,167.067777,1000.000000
276.310211,268.455210,1000.000000
276.310211,158.508423,1000.000000
276.310211,215.332459,1000.000000
276.310211,228.658561,1000.000000
276.310211,174.835059,1000.000000
276.310211,199.367935,1000.000000
276.310211,156.205507,1000.000000
276.310211,241.913862,1000.000000
276.310211,182.694311,1000.000000
276.310211,197.684321,1000.000000
276.310211,183.641895,1000.000000
276.310211,175.296742,1000.000000
276.310211,179.533885,1000.000000
276.310211,220.650455,1000.000000
276.310211,240.349993,1000.000000
276.310211,245.564962,1000.000000
276.310211,192.336986,1000.000000
276.310211,207.033974,1000.000000
276.310211,234.110749,1000.000000
276.310211,193.245249,1000.000000
276.310211,395.891640,1000.000000
276.310211,262.900526,1000.000000
276.310211,236.685359,1000.000000
368.413615,306.325784,10000.000000
368.413615,255.332621,10000.000000
368.413615,286.351366,10000.000000
368.413615,293.190571,10000.000000
368.413615,368.511268,10000.000000
368.413615,324.551781,10000.000000
368.413615,262.970560,10000.000000
368.413615,271.656076,10000.000000
368.413615,276.777814,10000.000000
368.413615,333.457380,10000.000000
368.413615,248.301699,10000.000000
368.413615,270.905178,10000.000000
368.413615,274.887421,10000.000000
368.413615,288.397763,10000.000000
368.413615,303.067523,10000.000000
368.413615,486.127409,10000.000000
368.413615,323.340116,10000.000000
368.413615,279.588359,10000.000000
368.413615,335.833681,10000.000000
368.413615,356.194222,10000.000000
368.413615,338.130345,10000.000000
368.413615,331.333978,10000.000000
368.413615,343.583086,10000.000000
368.413615,307.368113,10000.000000
460.517019,374.788929,100000.000000
460.517019,399.484056,100000.000000
460.517019,432.293763,100000.000000
460.517019,387.024018,100000.000000
460.517019,368.900041,100000.000000
460.517019,581.853577,100000.000000
460.517019,427.882184,100000.000000
460.517019,419.612500,100000.000000
460.517019,405.045842,100000.000000
460.517019,452.352240,100000.000000
460.517019,436.984430,100000.000000
460.517019,443.297325,100000.000000
460.517019,420.030344,100000.000000
460.517019,358.432277,100000.000000
460.517019,341.152648,100000.000000
460.517019,464.239492,100000.000000
460.517019,374.017434,100000.000000
460.517019,366.405947,100000.000000
460.517019,385.169329,100000.000000
460.517019,432.140658,100000.000000
460.517019,370.213037,100000.000000
460.517019,351.236487,100000.000000
460.517019,394.567101,100000.000000
460.517019,405.007054,100000.000000
552.620422,495.921493,1000000.000000
552.620422,471.333370,1000000.000000
552.620422,528.423120,1000000.000000
552.620422,677.711581,1000000.000000
552.620422,465.376254,1000000.000000
552.620422,483.032954,1000000.000000
552.620422,454.686549,1000000.000000
552.620422,525.417493,1000000.000000
552.620422,517.336084,1000000.000000
552.620422,539.739030,1000000.000000
552.620422,548.838192,1000000.000000
552.620422,501.604705,1000000.000000
552.620422,533.557067,1000000.000000
552.620422,471.827333,1000000.000000
552.620422,518.323666,1000000.000000
552.620422,529.820946,1000000.000000
552.620422,491.798027,1000000.000000
552.620422,562.860029,1000000.000000
552.620422,484.561876,1000000.000000
552.620422,438.528470,1000000.000000
552.620422,467.513711,1000000.000000
552.620422,464.684230,1000000.000000
552.620422,449.439032,1000000.000000
552.620422,503.824042,1000000.000000
644.723826,592.044909,10000000.000000
644.723826,624.785337,10000000.000000
644.723826,644.885269,10000000.000000
644.723826,567.462883,10000000.000000
644.723826,561.763541,10000000.000000
644.723826,774.074607,10000000.000000
644.723826,622.444425,10000000.000000
644.723826,579.620541,10000000.000000
644.723826,551.549449,10000000.000000
644.723826,614.632189,10000000.000000
644.723826,636.300387,10000000.000000
644.723826,598.207773,10000000.000000
644.723826,569.610230,10000000.000000
644.723826,631.153290,10000000.000000
644.723826,627.788493,10000000.000000
644.723826,589.538742,10000000.000000
644.723826,616.326210,10000000.000000
644.723826,661.119789,10000000.000000
644.723826,582.426593,10000000.000000
644.723826,565.408324,10000000.000000
644.723826,562.696107,10000000.000000
644.723826,536.436688,10000000.000000
644.723826,547.902012,10000000.000000
644.723826,602.626086,10000000.000000
736.827230,741.690820,100000000.000000
736.827230,733.095110,100000000.000000
736.827230,688.803202,100000000.000000
736.827230,664.543647,100000000.000000
736.827230,658.422474,100000000.000000
736.827230,711.855200,100000000.000000
736.827230,721.513863,100000000.000000
736.827230,676.871362,100000000.000000
736.827230,719.578157,100000000.000000
736.827230,870.807299,100000000.000000
736.827230,648.575298,100000000.000000
736.827230,695.088070,100000000.000000
736.827230,725.384589,100000000.000000
736.827230,667.603960,100000000.000000
736.827230,663.216238,100000000.000000
736.827230,759.371471,100000000.000000
736.827230,729.293892,100000000.000000
736.827230,714.578341,100000000.000000
736.827230,680.205421,100000000.000000
736.827230,661.022526,100000000.000000
736.827230,645.978708,100000000.000000
736.827230,701.208677,100000000.000000
736.827230,634.245501,100000000.000000
736.827230,687.760084,100000000.000000
828.930633,785.705701,1000000000.000000
276.310211,164.511211,1000.000000
368.413615,271.725982,10000.000000
460.517019,368.409192,100000.000000
552.620422,466.228319,1000000.000000
828.930633,761.537441,1000000000.000000
276.310211,199.307124,1000.000000
368.413615,300.271823,10000.000000
460.517019,398.201198,100000.000000
552.620422,494.373300,1000000.000000
828.930633,808.936386,1000000000.000000
276.310211,302.840285,1000.000000
368.413615,393.875512,10000.000000
460.517019,494.260364,100000.000000
552.620422,589.873084,1000000.000000
828.930633,838.634143,1000000000.000000
276.310211,257.558408,1000.000000
368.413615,339.166806,10000.000000
460.517019,436.291466,100000.000000
552.620422,533.312822,1000000.000000
828.930633,967.755709,1000000000.000000
276.310211,170.313971,1000.000000
368.413615,261.354185,10000.000000
460.517019,359.760293,100000.000000
552.620422,458.891215,1000000.000000
644.723826,563.320795,10000000.000000
644.723826,591.238496,10000000.000000
644.723826,686.544902,10000000.000000
644.723826,629.777422,10000000.000000
828.930633,773.849643,1000000000.000000
276.310211,201.179846,1000.000000
368.413615,302.229335,10000.000000
460.517019,398.630978,100000.000000
552.620422,496.509739,1000000.000000
644.723826,556.561241,10000000.000000
828.930633,818.628275,1000000000.000000
276.310211,186.526804,1000.000000
368.413615,299.199155,10000.000000
460.517019,400.442606,100000.000000
552.620422,496.515996,1000000.000000
828.930633,792.238445,1000000000.000000
276.310211,203.527479,1000.000000
368.413615,305.656715,10000.000000
460.517019,403.278888,100000.000000
552.620422,499.121504,1000000.000000
644.723826,593.584526,10000000.000000
644.723826,592.647591,10000000.000000
644.723826,595.383112,10000000.000000
828.930633,816.584804,1000000000.000000
276.310211,301.938634,1000.000000
368.413615,402.729609,10000.000000
460.517019,497.844755,100000.000000
552.620422,595.054367,1000000.000000
828.930633,830.691559,1000000000.000000
276.310211,229.345983,1000.000000
368.413615,321.843288,10000.000000
460.517019,419.473159,100000.000000
552.620422,516.021208,1000000.000000
644.723826,691.369175,10000000.000000
644.723826,612.613836,10000000.000000
736.827230,688.401052,100000000.000000
736.827230,660.165123,100000000.000000
736.827230,783.120309,100000000.000000
736.827230,726.564454,100000000.000000
736.827230,654.280139,100000000.000000
736.827230,689.365398,100000000.000000
736.827230,690.948800,100000000.000000
736.827230,692.953183,100000000.000000
828.930633,778.059544,1000000000.000000
276.310211,212.483138,1000.000000
368.413615,316.058231,10000.000000
460.517019,411.046441,100000.000000
552.620422,507.519523,1000000.000000
736.827230,788.296188,100000000.000000
644.723826,603.991530,10000000.000000
736.827230,710.599563,100000000.000000
828.930633,827.186427,1000000000.000000
276.310211,254.630212,1000.000000
368.413615,348.471158,10000.000000
460.517019,443.058585,100000.000000
552.620422,540.223942,1000000.000000
644.723826,637.480075,10000000.000000
828.930633,785.549985,1000000000.000000
276.310211,169.780591,1000.000000
368.413615,257.189995,10000.000000
460.517019,355.910776,100000.000000
552.620422,454.837252,1000000.000000
644.723826,551.456660,10000000.000000
736.827230,700.467644,100000000.000000
828.930633,746.443701,1000000000.000000
276.310211,187.964327,1000.000000
368.413615,284.627220,10000.000000
460.517019,380.143528,100000.000000
552.620422,478.273316,1000000.000000
644.723826,575.014837,10000000.000000
736.827230,734.240273,100000000.000000
736.827230,647.995590,100000000.000000
828.930633,857.993647,1000000000.000000
276.310211,157.248332,1000.000000
368.413615,253.838815,10000.000000
460.517019,352.013502,100000.000000
552.620422,449.044089,1000000.000000
828.930633,757.182932,1000000000.000000
276.310211,218.883650,1000.000000
368.413615,316.082700,10000.000000
460.517019,416.845311,100000.000000
644.723826,545.275683,10000000.000000
552.620422,516.440504,1000000.000000
828.930633,766.201217,1000000000.000000
276.310211,329.793325,1000.000000
368.413615,448.706001,10000.000000
460.517019,549.440340,100000.000000
552.620422,648.047286,1000000.000000
644.723826,614.095594,10000000.000000
828.930633,732.578858,1000000000.000000
276.310211,262.943933,1000.000000
368.413615,360.864308,10000.000000
460.517019,460.337376,100000.000000
552.620422,556.748594,1000000.000000
644.723826,745.640518,10000000.000000
