t_estimate,t_true,tumor_size
27.631021,28.838070,1000.000000
27.631021,32.022475,1000.000000
27.631021,25.251919,1000.000000
27.631021,35.825306,1000.000000
27.631021,26.826958,1000.000000
27.631021,29.434729,1000.000000
27.631021,35.141755,1000.000000
27.631021,29.542893,1000.000000
27.631021,28.062254,1000.000000
27.631021,24.916452,1000.000000
27.631021,22.888235,1000.000000
27.631021,36.308005,1000.000000
27.631021,26.762591,1000.000000
27.631021,27.015456,1000.000000
27.631021,33.260203,1000.000000
27.631021,34.661738,1000.000000
27.631021,34.840116,1000.000000
27.631021,28.929710,1000.000000
27.631021,26.976044,1000.000000
27.631021,26.817140,1000.000000
27.631021,33.982774,1000.000000
27.631021,25.474456,1000.000000
27.631021,27.523610,1000.000000
27.631021,26.203189,1000.000000
36.841361,37.828641,10000.000000
36.841361,41.120878,10000.000000
36.841361,34.630877,10000.000000
36.841361,36.046749,10000.000000
36.841361,44.376362,10000.000000
36.841361,45.116000,10000.000000
36.841361,38.858103,10000.000000
36.841361,38.692389,10000.000000
36.841361,37.566706,10000.000000
36.841361,36.148115,10000.000000
36.841361,44.111237,10000.000000
36.841361,32.167273,10000.000000
36.841361,35.046570,10000.000000
36.841361,35.692659,10000.000000
36.841361,36.530089,10000.000000
36.841361,36.256504,10000.000000
36.841361,43.839019,10000.000000
36.841361,36.967498,10000.000000
36.841361,34.225731,10000.000000
36.841361,38.089784,10000.000000
36.841361,42.638234,10000.000000
36.841361,45.420244,10000.000000
36.841361,36.284335,10000.000000
36.841361,43.309971,10000.000000
46.051702,45.277234,100000.000000
46.051702,53.519363,100000.000000
46.051702,50.346295,100000.000000
46.051702,47.043568,100000.000000
46.051702,54.295911,100000.000000
46.051702,48.048677,100000.000000
46.051702,44.815997,100000.000000
46.051702,43.794474,100000.000000
46.051702,47.908685,100000.000000
46.051702,46.758877,100000.000000
46.051702,41.323074,100000.000000
46.051702,44.217339,100000.000000
46.051702,45.703050,100000.000000
46.051702,45.296359,100000.000000
46.051702,53.258442,100000.000000
46.051702,45.457126,100000.000000
46.051702,53.002411,100000.000000
46.051702,46.233034,100000.000000
46.051702,51.808750,100000.000000
46.051702,47.333681,100000.000000
46.051702,43.439842,100000.000000
46.051702,52.549446,100000.000000
46.051702,45.514942,100000.000000
46.051702,54.703763,100000.000000
55.262042,54.492944,1000000.000000
55.262042,59.555922,1000000.000000
55.262042,63.495592,1000000.000000
55.262042,57.263707,1000000.000000
55.262042,62.706445,1000000.000000
55.262042,54.017950,1000000.000000
55.262042,56.254953,1000000.000000
55.262042,53.430298,1000000.000000
55.262042,52.982346,1000000.000000
55.262042,50.519404,1000000.000000
55.262042,55.959158,1000000.000000
55.262042,57.125007,1000000.000000
55.262042,54.509380,1000000.000000
55.262042,62.455841,1000000.000000
55.262042,54.891578,1000000.000000
55.262042,54.673786,1000000.000000
55.262042,55.454116,1000000.000000
55.262042,62.237226,1000000.000000
55.262042,61.005650,1000000.000000
55.262042,56.533576,1000000.000000
55.262042,52.640916,1000000.000000
55.262042,61.738488,1000000.000000
55.262042,54.709306,1000000.000000
55.262042,63.906748,1000000.000000
64.472383,68.771344,10000000.000000
64.472383,66.477692,10000000.000000
64.472383,72.704289,10000000.000000
64.472383,63.713111,10000000.000000
64.472383,63.235251,10000000.000000
64.472383,71.924060,10000000.000000
64.472383,62.645641,10000000.000000
64.472383,65.467115,10000000.000000
64.472383,59.725205,10000000.000000
64.472383,62.194939,10000000.000000
64.472383,65.168742,10000000.000000
64.472383,66.338479,10000000.000000
64.472383,71.667806,10000000.000000
64.472383,63.728694,10000000.000000
64.472383,63.885662,10000000.000000
64.472383,64.096172,10000000.000000
64.472383,64.676304,10000000.000000
64.472383,71.449978,10000000.000000
64.472383,65.746596,10000000.000000
64.472383,70.221754,10000000.000000
64.472383,61.854675,10000000.000000
64.472383,73.116886,10000000.000000
64.472383,63.927565,10000000.000000
64.472383,70.959339,10000000.000000
73.682723,75.691734,100000000.000000
73.682723,81.919305,100000000.000000
73.682723,77.988803,100000000.000000
73.682723,74.684922,100000000.000000
73.682723,81.139930,100000000.000000
73.682723,72.928101,100000000.000000
73.682723,71.864063,100000000.000000
73.682723,71.408480,100000000.000000
73.682723,68.940707,100000000.000000
73.682723,75.555399,100000000.000000
73.682723,74.385628,100000000.000000
73.682723,80.887377,100000000.000000
73.682723,72.945805,100000000.000000
73.682723,73.099329,100000000.000000
73.682723,73.309895,100000000.000000
73.682723,73.893725,100000000.000000
73.682723,80.666390,100000000.000000
73.682723,80.173881,100000000.000000
73.682723,72.450537,100000000.000000
73.682723,74.964225,100000000.000000
73.682723,71.071107,100000000.000000
73.682723,79.438062,100000000.000000
73.682723,82.331339,100000000.000000
73.682723,73.142368,100000000.000000
82.893063,91.134179,1000000000.000000
27.631021,38.636948,1000.000000
36.841361,47.861014,10000.000000
46.051702,57.060543,100000.000000
55.262042,66.278743,1000000.000000
64.472383,75.494128,10000000.000000
82.893063,84.907265,1000000000.000000
27.631021,33.282857,1000.000000
36.841361,42.725859,10000.000000
46.051702,51.913926,100000.000000
55.262042,61.145541,1000000.000000
82.893063,81.080604,1000000000.000000
27.631021,32.265184,1000.000000
36.841361,41.516930,10000.000000
46.051702,50.729535,100000.000000
55.262042,59.934015,1000000.000000
64.472383,70.356406,10000000.000000
82.893063,82.143902,1000000000.000000
27.631021,29.560320,1000.000000
36.841361,38.829524,10000.000000
46.051702,48.135521,100000.000000
82.893063,89.390307,1000000000.000000
27.631021,30.468549,1000.000000
36.841361,39.590480,10000.000000
46.051702,48.760925,100000.000000
55.262042,57.336159,1000000.000000
55.262042,57.978811,1000000.000000
82.893063,90.103363,1000000000.000000
27.631021,25.931435,1000.000000
36.841361,35.258712,10000.000000
46.051702,44.464056,100000.000000
55.262042,53.685237,1000000.000000
82.893063,83.902247,1000000000.000000
27.631021,32.990543,1000.000000
36.841361,42.176956,10000.000000
46.051702,51.364469,100000.000000
64.472383,69.152415,10000000.000000
55.262042,60.604242,1000000.000000
82.893063,80.623525,1000000000.000000
27.631021,36.683987,1000.000000
36.841361,46.074725,10000.000000
46.051702,55.245489,100000.000000
55.262042,64.453339,1000000.000000
82.893063,78.154977,1000000000.000000
27.631021,28.337363,1000.000000
36.841361,37.600193,10000.000000
46.051702,46.843493,100000.000000
55.262042,56.078075,1000000.000000
64.472383,67.195295,10000000.000000
64.472383,66.550403,10000000.000000
64.472383,62.899759,10000000.000000
64.472383,69.825934,10000000.000000
64.472383,73.673454,10000000.000000
64.472383,65.291899,10000000.000000
82.893063,83.603221,1000000000.000000
27.631021,23.028624,1000.000000
36.841361,32.323052,10000.000000
46.051702,41.606832,100000.000000
82.893063,84.772970,1000000000.000000
27.631021,24.838660,1000.000000
36.841361,33.946285,10000.000000
46.051702,43.165541,100000.000000
55.262042,50.821930,1000000.000000
55.262042,52.391665,1000000.000000
82.893063,82.312757,1000000000.000000
27.631021,34.622182,1000.000000
36.841361,43.666084,10000.000000
46.051702,52.844122,100000.000000
82.893063,82.524334,1000000000.000000
27.631021,25.316453,1000.000000
36.841361,34.283161,10000.000000
55.262042,62.064523,1000000.000000
46.051702,43.515385,100000.000000
55.262042,52.720744,1000000.000000
82.893063,83.110680,1000000000.000000
27.631021,31.321310,1000.000000
36.841361,40.459958,10000.000000
46.051702,49.639492,100000.000000
55.262042,58.845426,1000000.000000
82.893063,81.666252,1000000000.000000
27.631021,23.729371,1000.000000
36.841361,32.812906,10000.000000
64.472383,60.041877,10000000.000000
46.051702,42.025934,100000.000000
55.262042,51.255779,1000000.000000
64.472383,61.609962,10000000.000000
64.472383,71.268339,10000000.000000
64.472383,61.936245,10000000.000000
64.472383,68.064720,10000000.000000
64.472383,60.469610,10000000.000000
82.893063,82.162687,1000000000.000000
27.631021,27.935290,1000.000000
36.841361,37.042002,10000.000000
46.051702,46.195032,100000.000000
55.262042,55.414760,1000000.000000
82.893063,84.181261,1000000000.000000
27.631021,30.829979,1000.000000
36.841361,40.010620,10000.000000
46.051702,49.254962,100000.000000
55.262042,58.467012,1000000.000000
64.472383,64.627008,10000000.000000
64.472383,67.677485,10000000.000000
82.893063,89.883820,1000000000.000000
27.631021,29.248095,1000.000000
36.841361,38.461461,10000.000000
73.682723,84.706870,100000000.000000
46.051702,47.643965,100000.000000
55.262042,56.847076,1000000.000000
82.893063,90.356163,1000000000.000000
27.631021,24.836905,1000.000000
36.841361,34.234512,10000.000000
46.051702,43.448688,100000.000000
55.262042,52.685800,1000000.000000
64.472383,66.064946,10000000.000000
73.682723,79.571310,100000000.000000
73.682723,78.365260,100000000.000000
64.472383,61.891446,10000000.000000
73.682723,75.767070,100000000.000000
73.682723,76.408653,100000000.000000
73.682723,72.111536,100000000.000000
73.682723,79.041751,100000000.000000
73.682723,82.886721,100000000.000000
73.682723,74.504790,100000000.000000
82.893063,88.654412,1000000000.000000
27.631021,23.384360,1000.000000
36.841361,32.612961,10000.000000
46.051702,41.895379,100000.000000
55.262042,51.094924,1000000.000000
73.682723,71.152421,100000000.000000
73.682723,69.258179,100000000.000000
73.682723,80.483019,100000000.000000
73.682723,69.682312,100000000.000000
64.472383,60.308821,10000000.000000
73.682723,77.281454,100000000.000000
82.893063,82.359284,1000000000.000000
27.631021,30.499021,1000.000000
36.841361,39.817970,10000.000000
46.051702,49.052525,100000.000000
55.262042,58.292291,1000000.000000
73.682723,70.826091,100000000.000000
64.472383,67.511459,10000000.000000
82.893063,87.206645,1000000000.000000
27.631021,28.939363,1000.000000
36.841361,37.989319,10000.000000
46.051702,47.157647,100000.000000
55.262042,56.368415,1000000.000000
73.682723,76.890487,100000000.000000
64.472383,65.586449,10000000.000000
73.682723,73.844734,100000000.000000
73.682723,71.105926,100000000.000000
73.682723,75.279673,100000000.000000
82.893063,91.548291,1000000000.000000
27.631021,37.007238,1000.000000
36.841361,46.247686,10000.000000
46.051702,55.467763,100000.000000
55.262042,64.679486,1000000.000000
64.472383,73.893276,10000000.000000
73.682723,69.524988,100000000.000000
82.893063,80.288438,1000000000.000000
27.631021,37.734988,1000.000000
